title,company,location,URL,Date,Descripcion,Profile
Data Scientist,Enzyme,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=a7a64c3537fc092d&fccid=f60a1abecf182ce2&vjs=3,not found,"¿Estás preparado para aplicar tus conocimientos en nuevos y emocionantes desafíos? Esta es tu oportunidad para formar parte de la nueva generación de talento digital.  ¿QUIÉNES SOMOS?  Enzyme Advising Group, en adelante Enzyme, está en continuo proceso de expansión y crecimiento. Queremos incorporar nuevos profesionales apasionados por la Inteligencia Artificial, por desarrollar una carrera internacional, y que acepten el reto de ayudar a las empresas en el proceso de la transformación digital.  ¿QUÉ OFRECEMOS?  En Enzyme nos preocupamos por tu bienestar y crecimiento personal y profesional, por lo que hemos definido un paquete atractivo compuesto por:  Contrato indefinido desde el primer día. Un equipo en crecimiento muy integrado, divertido y cohesionado. Un plan formativo a tu medida, para que desarrolles un trabajo de calidad y sigas aprendiendo. Proyectos innovadores donde poder aportar y desarrollar tus conocimientos. Salario competitivo acorde a tu valía. Retribución salarial con opción a tickets restaurant, tarjeta transporte, seguro médico, cheque guardería y renting de coche.  ¿CUÁL SERÁ TU MISIÓN INICIAL?  Trabajarás de la mano de consultores expertos en Inteligencia Artificial, Machine Learning y Experiencia de Usuario, apoyándoles en el desarrollo de soluciones de negocio con el uso de la Innovación y las tecnologías de Inteligencia Artificial para conseguir un valor diferencia.  Inicialmente tu foco estará en definir, diseñar y ejecutar una amplia gama de proyectos de datos, orientados a aspectos como la optimización, el análisis predictivo, el reconocimiento de imágenes o la segmentación. También participarás en la comunicación de metodologías de análisis, los resultados obtenidos y el uso de esos resultados tanto al equipo como a nuestros clientes. A la vez, nuestra filosofía es la de un equipo de personas que persigue objetivos comunes, y que trabaja de forma ágil para conseguirlos.  ¿QUÉ PUEDES APORTARNOS?  Nuestros equipos destacan por su polivalencia, porque estamos convencidos de que la clave está en que el equipo tenga acceso a todos los conocimientos necesarios para satisfacer las necesidades del cliente.  La mayoría tenemos graduación universitaria en diferentes disciplinas, tanto tecnológicas como no tecnológicas. No precisamos de ningún grado u orientación profesional específica, únicamente deberás cumplir con los valores compartidos por todos nuestros colaboradores:  Perfil curioso y apasionado por la Innovación, la Inteligencia Artificial, la tecnología, y cómo impactar en el negocio de nuestros clientes. Proactivo, con alta capacidad de compromiso y trabajo en equipo, espíritu de cooperación y superación personal. Resolutivo, con alto nivel de autonomía y orientación a objetivos. Buena capacidad analítica, de comunicación y habilidades interpersonales. Total dominio del español e inglés nivel negociación. Se valorarán otros idiomas. Impulsado, disfruta de un desafío, con capacidad demostrada para adaptarse y eliminar obstáculos para lograr resultados, determinado y optimista.  Asimismo, el perfil de Data Scientist Experience que buscamos recoge algunos conocimientos específicos que se valoran positivamente, pero no obligatorios:  Experiencia en el análisis y creación de soluciones a seguir en función de la problemática abordada. Valorable experiencia en el desarrollo de modelos predictivos ML y su validación. Uso avanzado de al menos uno de los lenguajes de programación para el análisis y modelado estadístico, preferiblemente R o Python, también se valorarán SAS, Matlab, SPSS, STATA, etc. Experiencia con BBDD estructuradas (SQL, Oracle, etc.) y no estructuradas. Práctica en estrategias de comunicación, tanto individuales como grupales para solucionar retos de negociación, conflictos, y acuerdos.  Join ENZYME, Become the next Digital Leader  http://www.enzymeadvisinggroup.com Hace más de 30 días Reportar empleo",Undefined
CRM Junior Data Scientist,Adam Foods,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=8722b98c6736bc41&fccid=9dae1137654eb1d5&vjs=3,28,"¡Buscamos talento! Adam Foods somos un grupo de empresas del sector alimentación, con presencia en la península ibérica y proyección internacional, busca cubrir una vacante de CRM Junior Data Scientist para sus oficinas centrales de Barcelona. ¿Cuál será tu rol? Buscamos un CRM Junior Data Scientist para unirse al equipo de marketing digital con 3 objetivos principales: Desarrollo de la captación de leads; Cualificación y organización del Data; Comunicación CRM Desarrollo y conexión de las diferentes fuentes de captación de Leads que lideran otras áreas de Marketing (Promociones, eCommerce, formularios de atención al Cliente). Identificación e implementación de mejoras en el proceso de captación de datos y funcionalidades del sistema de la herramienta de gestión de campañas (SalesForce). Creación de Journeys (árbol de decisiones) para conducir a clientes hacía diferentes objetivos, como por ejemplo incrementar el conocimiento de los consumidores añadiendo datos nuevos o cruzando con datos paralelos. Gestionar las necesidades de datos de CRM (segmentación, perfilado, validación legal (RGPD)...) para ejecutar campañas de marketing. Análisis de datos de CRM para identificar y priorizar las necesidades relevantes para nuestras marcas en nuestro sector. ¿Qué buscamos? Estudios en ADE, Marketing o similar. Conocimiento de SalesForce Conocimiento de RGPD  ¿Eres una persona proactiva, con muchas ganas de aprender, aportar y disfrutar? Si tu respuesta es sí ... ¡ven a cocinar tu futuro con nostros! Nuestros ingredientes de calidad, nuestros valores: Familiaridad, Disfrutar, Sostenibilidad y Mejora Contínua. hace 28 días Reportar empleo",Junior
Data Scientist Specialist (ASL),Nestle,"Esplugues de Llobregat, Barcelona provincia",https://es.indeed.com/rc/clk?jk=b68e31847a1b57b6&fccid=bfdac90a7574b77c&vjs=3,23,"About ASL in Nestlé We are a team of Analytical professionals from many countries and diverse backgrounds, each with unique missions and challenges in the biggest health, nutrition and wellness company of the world. We innovate every day through forward-looking projects to create opportunities for Nestlé’s digital challenges with our consumers, customers and at the workplace. We collaborate with our business partners around the world to deliver standardized, integrated technology products and services to create tangible business value. In order to complete our Analytics Service Line department, we are currently looking for a Data Science Specialist. Position Snapshot Location: Nestlé Global Hub in Barcelona, Spain Permanent Contract Bachelor’s degree Fluent English Position Summary As a Data Scientist Specialist, you would not only get to solve these business questions but also improve data science capabilities for Nestle Nespresso. You will collaborate with different Nespresso business users across the enterprise to drive the creation and development of business cases to achieve new insights. Your subject matter expertise with predictive modeling will help you advise stakeholders, users, and super-users alike.  Travel activity is low, depending on the project assigned, averaging at below 10%. A day in the life of Data Scientist Specialist Partner with Nespresso HQ and Nespresso markets to build and deliver a portfolio of advanced analytics initiatives focus initially on fraud detection Work closely with Market and Centre Functions, to identify and answer business problems/questions using appropriate modeling techniques on available data Evangelize and provide advisory services around data science capabilities and knowledge within Nestle Nespresso. Monitor data science trends, identify implications, and proactively build Nestlé Nespresso capabilities. Collaborate with other Business Analytics teams and networks to utilize new sources of data, for the purpose of developing insights and applicability across Nespresso markets Provide enablement services around predictive, diagnostic, and optimization analytics. Work with large, complex data sets Solve difficult, non-routine analysis problems, applying advanced analytical methods as needed Conduct end-to-end analyses - work that includes data gathering from various data storage platforms, requirements specification, data processing tasks, various analysis techniques, ongoing business deliverables, and internal customer presentations. What will make you successful Bachelor’s degree or higher (Engineering/ Computer Science /Mathematics/Statistics/ Social Science) Masters would be good to have (in disciplines like Data Science, Business Administrations, Social Science and Economics) 2-4 years of experience in Analytics embedded in Business organizations At least 1 year of experience on developing and maintenance of advance predictive models to solve business problems At least 2 years of experience working in a coding language such as R, SQL, Python or similar language. Cloud environment knowledge will be considered (Azure, AWS, etc.) Proficient ability in data visualization techniques and experience with PBI is preferred You are experienced in stakeholder management as well as in conflict resolution in a cross-functional environment. You are eager to learn new things and are open to the ever changing needs of the new digital world whatever that may mean over the years to come. Demonstrates personal commitment to change through actions and words You communicate effectively with all levels of business and technical professionals in English Experience having worked in a global environment and with virtual team. Join us! Show us that you are an enthusiastic, motivated, fast learner and team player person who is used to work with agile practices. Your ability to be flexible, self-motivated and your willingness to do whatever it takes to deliver on a deadline will set you apart among the other candidates. Please do not hesitate and apply in English at www.nestle.com/jobs. We are excited to hear from you!  The Nestlé Group is the world’s largest food and beverage company with 89.8 billion Swiss Francs in sales in 2017. It is present in 189 countries around the world, has 413 factories and its 323,000 employees are committed to Nestlé’s purpose of enhancing quality of life and contributing to a healthier future. Nestlé offers a wide portfolio of products and services for people and their pets throughout their lives. Its more than 2000 brands range from global icons like Nescafé or Nespresso to local favourites. Company performance is driven by its Nutrition, Health and Wellness strategy. Nestlé is based in the Swiss town of Vevey where it was founded more than 150 years ago. Learn more about our Group and reasons to join us on www.nestle.com. Ready to take the next step? hace 23 días Reportar empleo",Undefined
Data Scientist,eDreams ODIGEO,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=75db214fdeb5f6d1&fccid=34d04f6900db138d&vjs=3,18,"eDreams ODIGEO is one of the world’s largest online travel companies and one of the largest e-commerce businesses in Europe. Under its four leading online travel agency brands – eDreams, GO Voyages, Opodo, Travellink, and the metasearch engine Liligo – it serves more than 18 million customers per year across 46 markets. Listed on the Spanish Stock Market, eDreams ODIGEO works with over 665 airlines and has partnerships with 130. The brand offers the best deals in regular flights, low-cost airlines, hotels, cruises, car rental, dynamic packages, holiday packages and travel insurance to make travel easier, more accessible, and better value for consumers across the globe. Our dynamic team of young, talented professionals from over 60 different nationalities is driven by one clear mission: making travel easier, more accessible, and create better value for our 18 million customers worldwide. Inside our Data Science team, we research and build cutting-edge solutions to be able to offer more and better combinations of tailored travel plans than any other site. We have dozens of machine learning models in production doing hundreds of thousands of predictions that optimize our processes, improve the content for our customers and help us adapt to changes in the market. The team is constantly analyzing the past to understand it, and predicting the future to guide business on making the decisions that drive the most value both for our customers and our business. We set the path with data and intelligence. Shape with us the way people travel. We are looking for a passionate, highly analytical Data Scientist to join our talented team in sunny and vibrant Barcelona. You will have the opportunity to either crunch massive datasets using the latest Big Data technologies or solve a quick problem with an already classic algorithm. We always promote using the best tool for each task. You will be a key player in the organization by designing and implementing advanced analytics and using machine learning to build AI-powered solutions for almost every area in the business like online fraud detection, recommendation engines, user experience personalization, optimizing the flight combinations we offer or the marketing campaigns we launch, and virtually every possible area subject to optimization in the business etc. Join us and help us reach our ambitious goal of becoming the global leader in online travel! What you will do: Conduct predictive analytics to better understand how our customers interact with our products and help us anticipate their needs. Collaborate with Product and Business teams in order to embed Machine Learning into our apps, services and products and create predictive models and generate insights from our data. Coordinate, challenge and share the best analytical practices and methods within the organization. Stay up to date with the latest developments in Machine Learning technologies and Data Science trends. Effectively communicate results and insights with other stakeholders throughout the organization. About you: Degree in a quantitative field (Mathematics, Statistics, Computer Science, Engineering or other quantitative fields). 2+ years of related experience as a Data Scientist, Machine Learning engineer or similar. Previous experience in problem-solving, strong analytical and technical skills. You have a solid understanding of appropriate statistical, data mining and machine learning methods for various analysis situations. Strong experience coding in Python. Other programming languages like Scala, R, or Java are also valued. Experience using frameworks like, Spark, Tensorflow and the already classic libraries like scikit-learn, pandas, etc. Solid knowledge and use of SQL is important. Experience in Big Data technologies; such as distributed computing, NoSQL/graph databases or architectures based on kubernetes, airflow or kafka would be a plus. You are committed to follow good practices and conventions, from code versioning to QA processes and monitorization. Written and oral communication skills (in English). What do we offer? Safe environment during COVID times: Onboarding and daily work can be done 100% remote. A free eDreams Prime subscription to benefit from significant discounts on your travels. Competitive compensation package with an attractive bonus structure. Excellent environment for continuous growth and learning: with our Learning & Development programs, you will have access to tech talks, internal soft skills and technical skills training, language lessons, external events and industry conferences. Free subscription to O’Reilly Online Learning. Fast-track career development: with our unique programs, you are always working towards the next step on your career path. We also have for you a Ticket Restaurant benefit & unlimited beverages and coffee for free at the office (with many types of milk alternatives) because we like our eDOers happy and healthy! A phenomenal lifestyle and work-life-balance. New to the city? We also offer great relocation packages. Additional prizes and awards for a variety of team and individual achievements. Fun at work: at eDreams ODIGEO, work and fun go hand in hand! … And the opportunity to work in a dynamic, dedicated, fun and passionate team of professionals. We journey together! Come fly with us and join us now. eDreams ODIGEO under its four leading online travel agency brands – eDreams, GO Voyages, Opodo, Travellink, and the metasearch engine Liligo –is an equal opportunity employer and value diversity and inclusion. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status or disability status. edreams hace 18 días Reportar empleo",Undefined
Data Scientist Intern,ZeptoLab,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=0a477c63722f41a7&fccid=fea8c93b7974f803&vjs=3,29,"Zeptolab is looking for a Data Science Intern to join our team in Barcelona!  ZeptoLab is a global gaming company dedicated to the science of fun. Everything we do is data-driven. If you love the Data Science field, love to work with passionate people from all over the world, and want to learn about the mobile games industry, then check out the job description and apply : ) You will be a part of the analytics team and work very closely with the marketing team and product teams. Both teams are a huge part of Zeptolab success, and you will have an opportunity to affect it.  Our company currently consists of 120 employees, and you will have a chance to work with great professionals. Everyone in the company is naturally curious, passionate, and eager to share and absorb new in Mustakbil hace 29 días Reportar empleo",Undefined
Senior Data Scientist,PepsiCo,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=5c47dbdd6773695e&fccid=2973259ddc967948&vjs=3,2,"Auto req ID: 234680BR Job Description About Pepsico PepsiCo is a global food and beverage leader with a product portfolio including 22 brands that generate more than $1 billion each in annual retail sales. Our main businesses – Quaker, Tropicana, Gatorade, Frito-Lay and Pepsi-Cola – make hundreds of enjoyable foods and beverages that are loved throughout the world. At PepsiCo, you get the best of both worlds: an entrepreneur’s mindset plus reach and resources. Our collaborative culture and worldwide presence generate a stream of new opportunities to define the future and propel your life’s work. Bring your unique perspective. Bring curiosity. Bring ingenuity, and drive. We’ll give you a platform to be daring on a global scale.  About Data & Analytics With data deeply embedded in our DNA, PepsiCo Data & Analytics transforms data into consumer delight. We build and organize business-ready data that allows PepsiCo’s leaders to solve their problems with the highest degree of confidence. Our platform of data products and services ensures data is activated at scale. This enables new revenue streams, deeper partner relationships, new consumer experiences, and innovation across the enterprise.  Job Description Your role will be to be part of growing team based in Barcelona, to create and support global digital developments for PepsiCo. These developments will be around topics like revenue management, supply chain, manufacturing, logistics.  You will be part of a collaborative interdisciplinary team around data, where you will be responsible of building deployable statistical/machine learning models, starting from the discovery phase . You will work closely with process owners, product owners and final business users. This will provide you the correct visibility and understanding of criticality of your developments.  You will be an internal ambassador of the team’s culture around data and analytics. You will provide stewardship to colleagues in the areas that you are an specialist or you are specializing.  This Role Will Support The Following Activities   Partner with data engineers to ensure data access for discovery and proper data is prepared for model consumption. Partner with ML engineers working on industrialization. Coordinate work activities with Business teams, other IT services and as required. Drive the use of the Platform toolset and to also focus on 'the art of the possible' demonstrations to the business as needed. Communicate with business stakeholders in the process of service design, training and knowledge transfer. Support large-scale experimentation and build data-driven models. Set KPIs and metrics to evaluate analytics solution given a particular use case. Refine requirements into modelling problems. Influence product teams through data-based recommendations. Research in state-of-the-art methodologies. Create documentation for learnings and knowledge transfer. Create reusable packages or libraries. Qualifications/Requirements 4+ years’ experience building solutions in the revenue management or in the supply chain space. 4+ years working in a team to deliver production level analytic solutions. Fluent in git (version control). Understanding of Jenkins, Docker are a plus. 4+ years’ experience in ETL and/or data wrangling techniques. Fluent in SQL syntaxis. 4+ years’ experience in Statistical/ML techniques to solve supervised (regression, classification) and unsupervised problems. Experiences with Deep Learning are a plus. 3+ years’ experience in developing business problem related statistical/ML modeling with industry tools with primary focus on Python or Scala development. Business storytelling and communicating data insights in business consumable format. Fluent in one Visualization tool. Strong communications and organizational skills with the ability to deal with ambiguity while juggling multiple priorities Experience with Agile methodology for team work and analytics ‘product’ creation. Fluent in Jira, Confluence. Experience with Azure cloud services is a plus. Experience in Reinforcement Learning is a plus. Experience in Simulation and Optimization problems in any space is a plus. Experience with Bayesian methods is a plus. Experience with Causal inference is a plus. Experience with NLP is a plus. Experience with working with FAIR data is a plus. Experience with Responsible AI is a plus. Experience with distributed machine learning is a plus Relocation Eligible: Not Applicable Job Type: Regular hace 2 días Reportar empleo",Not found
Data Scientist,Entravision,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=65c81475f16fb2ef&fccid=715e5538e133fb28&vjs=3,24,"Smadex (www.smadex.com) is a leading mobile-first DSP (Demand-Side-Platform) for performance and branding digital campaigns. Our state-of-the-art DSP technology provides advertisers with the tools they need to achieve their goals and ROI, with measurable results from web forms, post-app install events, store visits, and sales. For branding campaigns, we provide advertisers with tools to reach their target audiences across the highest-quality publishers, supported by data, brand safety, and viewability across audio, video, banners, and rich media. At the heart of our technology are our Machine Learning algorithms that help businesses to improve performance campaigns. To scale our data science team as we grow, we are looking for a senior data scientist who enjoys wrangling data and generating algorithms while having clear statistical thinking and loves working in a team. If your profile fits, this is a great opportunity to grow your career at a young and agile yet global company and have a real impact on daily business with our algorithms. The role is based in Barcelona! Are you ready to be part of the new unicorn? Responsibilities: The final candidate will be deeply involved in all the major architectural and development decisions we make on our algorithms You will be responsible for developing new features, measuring the performance and improving our pipelines You will also play an analytical role researching, designing, implementing, and deploying full-stack scalable data analytics and machine learning solutions to challenging business issues, as well as working closely with our Tech and Ops team Analyse data from different sources and provide actionable insights to business and engineering stakeholders Requirements: 2+ years of relevant experience in data science positions Proficiency in building high-performance algorithms in production Proficiency in solving problems Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical significance tests) Experience in data mining and predictive modeling inclusive of logistic regression, clustering, and time series analysis models Experience with Scala, Python and Apache Spark Knowledge of Bitbucket/Git version tools Experience working with SQL and data warehousing Possesses excellent communication skills both verbal and written Able to mentor other team members Fluency in English Nice to have :-) Master’s degree in Statistics, Applied mathematics, Computer Science Experience with reporting and data visualization tools such as Jupyter Notebook, Zeppelin, Tableau, Periscope, PowerBI or others Experience in digital marketing platforms and user acquisition Experience with java and nodejs programming language Familiarity with AWS services such as EMR, EC2, Athena, S3, Redshift Used to Linux environments Reward package: Highly motivated and young team, great compensation package, top location at Barcelona's heart with rooftop terrace, good work-life balance: work from home, flexible hours, learning and training opportunities, ticket restaurant, free gym membership. And more! DKhMKWg8QH hace 24 días Reportar empleo",Undefined
Data Scientist Internship - Full time,Entravision,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=fb89f55e0fdb0a15&fccid=715e5538e133fb28&vjs=3,24,"At the heart of our technology are our Machine Learning algorithms that help a business to improve performance campaigns. To scale our data science team as we grow, we are looking for an intern data scientist who enjoys wrangling data and generating algorithms while having clear statistical thinking and loves working in a team. If your profile fits, this is a great opportunity to grow your career at a young and agile yet global company (from over 30 different countries) and have a real impact on daily business with our algorithms. Are you ready to be part of the new unicorn? For applicants who are currently studying Bachelor's or Master Degree, this is a FULL-TIME and 6-month internship, with the real possibility to become an employee after finishing the Degree but always subject to performance and results. Please note that we do NOT provide VISA sponsorship. Candidates without a legal permit to work in Spain won't be considered. Your tasks and responsibilities: Analyze data from different sources and provide actionable insights to the Data Science team, business, and other engineering stakeholders Create SQL queries to extract data from different databases Programming in Python or Scala and generate reports and insights Generate notebooks with results: Jupyter or Zeppelin Work with Amazon Web Services Skills and requirements: Availability to start immediately to do a FULL-TIME internship for 6 months and have a possibility to work as an employee afterwards is a MUST Strong analytical skills with the ability to analyze key metrics Knowledge of statistical techniques and concepts (regression, properties of distributions, statistical significance tests) Knowledge in data mining and predictive modeling Good communication skills both verbal and written Fluency in English Proactivity Extra points if you are: Self-motivated with the ability to work independently and a sense of accountability Detail-oriented, well organized, and able to multi-task in a results-oriented business environment Nice to have :-) Student of Bachelor or Master’s degree in Computer Science. Programming in Scala, Python and Apache Spark; Bitbucket/Git version tools; SQL and data warehousing (nice to have or you will learn with us) Reporting and data visualization tools such as Jupyter Notebook, Zeppelin, Tableau, Periscope, PowerBI or others Familiarity with AWS services such as EMR, EC2, Athena, S3, Redshift Used to Linux environments What's in for you: Paid internship, flexible working hours, opportunity to learn and develop strong knowledge about the industry (business models, partners, agencies, publishers and more), exposure to leading publishers and media partners in the digital marketing industry, company support in your professional development, monthly TGIFs and regular team building events, fun and friendly work environment with talented marketers from over 26 different countries. And more! Xhd5NuQN4w hace 24 días Reportar empleo",Not found
Data Scientist,Entravision Communications Corporation,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=873683fde2c3b9c6&fccid=55a8ffd39b479920&vjs=3,13,"At the heart of our technology are our Machine Learning algorithms that help a business to improve performance campaigns. To scale our data science team as we grow, we are looking for a senior data scientist who enjoys wrangling data and generating algorithms while having clear statistical thinking and loves working in a team. If your profile fits, this is a great opportunity to grow your career at a young and agile yet global company and have a real impact on daily business with our algorithms. Are you ready to be part of the new unicorn? Keep reading! What will you do: You will be deeply involved in all the major architectural and development decisions we make on our algorithms You will be responsible for developing new features, measuring the performance and improving our pipelines You will also play an analytical role researching, designing, implementing, and deploying full-stack scalable data analytics and machine learning solutions to challenge business issues, as well as working closely with our Tech and Ops team Analyse data from different sources and provide actionable insights to business and engineering stakeholders Expected Hours of Work This is a Full Time position. Actual hours and schedule may vary. Required Qualifications: 2+ years of relevant experience in data science positions Proficiency in building high-performance algorithms in production Proficiency in solving problems Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical significance tests) Experience in data mining and predictive modelling inclusive of logistic regression, clustering and time series analysis models Experience with Scala, Python and Apache Spark Knowledge of Bitbucket/Git version tools Experience working with SQL and data warehousing Possesses excellent communication skills both verbal and written Fluency in English Preferred Qualifications: Master’s degree in Statistics, Applied mathematics, Computer Science Experience with reporting and data visualization tools such as Jupyter Notebook, Zeppelin, Tableau, Periscope, PowerBI or others Experience in digital marketing platforms and user acquisition Experience with Java and Nodejs programming language Familiarity with AWS services such as EMR, EC2, Athena, S3, Redshift Used to Linux environments hace 13 días Reportar empleo",Undefined
Data Scientist,Stuart,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=21a62862bce5598f&fccid=36f022343719813f&vjs=3,12,"Stuart is a leading last-mile delivery platform that connects small and big businesses to a fleet of geolocalized couriers. We empower thousands of companies across Europe by providing same-day delivery, next-day delivery, and return solutions. We work across verticals with retailers, grocery stores, restaurants, and e-commerce merchants to enable smarter transportation models. Logistics for a sustainable world. That is the mission at the heart of Stuart Delivery.  We are looking for a Data Scientist to join our gathering of 8 Physicists, Mathematicians, and Engineers who compose our Data Science team, striving to provide the most efficient and highest performing algorithms in the delivery industry.  If you are passionate about high-performance algorithms for complex problems, Mustakbil hace 12 días Reportar empleo",Undefined
